日期,开盘,最高,最低,收盘,成交量
2016/05/02,80.02,81.3,80.02,80.97,7862575
2016/05/03,80.8,81.7,80.69,81.1,7617484
2016/05/04,80.87,81.77,80.87,81.6,7365495
2016/05/05,81.6,82.09,80.92,81.3,6399874
2016/05/06,81.42,82.25,81.17,82.13,6297747
2016/05/09,82.21,82.73,81.97,82.12,6718615
2016/05/10,82.15,82.68,82.12,82.48,6223170
2016/05/11,82.5,82.89,82.13,82.15,5974299
2016/05/12,82.48,82.74,82.11,82.41,4925007
2016/05/13,82.42,82.42,81,81.23,6578134
2016/05/16,81.01,81.89,80.75,81.63,6497236
2016/05/17,81.64,82.06,80.33,80.62,10188233
2016/05/18,80.59,80.77,79.41,79.85,8344069
2016/05/19,79.64,80.22,79.45,80.19,6242472
2016/05/20,80.44,80.5,79.79,80.02,6526805
2016/05/23,80.05,80.33,79.85,80.2,5620561
2016/05/24,80.3,81.38,80.3,80.97,6292952
2016/05/25,81.08,81.78,81.01,81.48,6050617
2016/05/26,81.48,81.6,81.09,81.22,4622328
2016/05/27,81.27,81.66,81.16,81.43,4322195
2016/05/31,81.58,81.82,80.74,81.04,6705032
2016/06/01,80.95,81.8,80.86,81.79,6183908
2016/06/02,81.53,81.95,81.33,81.95,5185852
2016/06/03,81.93,82.49,81.78,82.47,6306519
2016/06/06,82.4,82.83,82.23,82.77,5292348
2016/06/07,82.76,82.89,82.25,82.32,6327475
2016/06/08,82.37,82.75,82.02,82.65,4712567
2016/06/09,82.58,83.26,82.43,83.17,6144895
2016/06/10,82.77,83.34,82.61,83.2,6840768
2016/06/13,82.96,83.4,82.53,82.57,6167444
2016/06/14,82.55,83.37,82.27,83.35,6868619
2016/06/15,83.4,83.5,82.82,82.95,7081953
2016/06/16,82.67,83.61,82.66,83.41,6630088
2016/06/17,83.31,83.44,82.35,83.13,11741742
2016/06/20,83.52,83.7,83.03,83.04,6164326
2016/06/21,83.09,83.78,83.09,83.41,6594737
2016/06/22,83.5,83.76,83.29,83.57,4940053
2016/06/23,83.81,84.21,83.57,84.21,7360818
2016/06/24,82.61,83.82,81.99,82.26,12400528
2016/06/27,81.83,81.89,81,81.23,9619036
2016/06/28,81.44,82.49,80.95,82.46,9257100
2016/06/29,82.96,83.91,82.91,83.91,7927096
2016/06/30,83.91,84.8,83.82,84.67,10969276
2016/07/01,84.52,84.99,84.51,84.78,9530706
2016/07/05,84.48,85.95,84.45,85.44,11395221
2016/07/06,85.37,85.5,84.74,85.03,8356546
2016/07/07,85.23,85.24,84.53,84.83,7905843
2016/07/08,84.98,85.9,84.77,85.77,6827349
2016/07/11,85.61,85.95,84.91,85.75,6156824
2016/07/12,85.49,85.94,85.19,85.75,6649827
2016/07/13,85.81,86.15,85.41,85.89,7571473
2016/07/14,86.44,86.89,85.85,85.87,11342573
2016/07/15,86.25,86.48,85.79,86.01,8491347
2016/07/18,86.02,86.05,85.7,85.93,4781778
2016/07/19,85.67,86.18,85.56,86.17,6078231
2016/07/20,85.38,85.73,85.13,85.32,6289008
2016/07/21,85.02,85.37,84.88,85.26,5471194
2016/07/22,85.5,85.98,85.45,85.72,6165618
2016/07/25,85.53,85.8,85.15,85.8,5604714
2016/07/26,85.68,86.08,85.17,85.27,5377632
2016/07/27,85.24,85.3,84.32,84.46,7744552
2016/07/28,84.42,84.98,84.4,84.81,5911575
2016/07/29,84.89,85.79,84.8,85.59,7520867
2016/08/01,85.44,86.58,85.42,86.41,10419968
2016/08/02,87.02,87.15,86.24,86.76,13083211
2016/08/03,86.51,86.72,85.46,85.97,8192099
2016/08/04,86.12,86.53,85.8,86.05,5564060
2016/08/05,86.08,86.44,85.53,85.78,6729690
2016/08/08,85.61,85.9,85.13,85.76,5388177
2016/08/09,85.86,86.34,85.68,85.99,4158784
2016/08/10,86.26,86.82,86,86.31,5981436
2016/08/11,86.7,87,86.4,86.73,7387106
2016/08/12,86.92,87.45,86.78,87.04,8063375
2016/08/15,87.52,87.57,86.99,87.02,6871164
2016/08/16,86.98,87.4,86.47,86.58,8071056
2016/08/17,86.45,87.11,85.97,86.96,6762059
2016/08/18,86.94,87.46,86.94,87.44,7082804
2016/08/19,87.2,87.41,87.05,87.31,6199917
2016/08/22,87.14,87.21,86.58,86.85,5921119
2016/08/23,87.13,87.5,87.04,87.4,5420109
2016/08/24,87.32,87.45,86.56,87.31,5713285
2016/08/25,87.3,87.94,87.04,87.9,10594773
2016/08/26,87.87,88.5,87.17,87.58,16408187
2016/08/29,87.39,88.4,87.32,88.3,8934447
2016/08/30,87.72,88.3,87.46,87.54,11618492
2016/08/31,87.75,87.85,87.03,87.31,11407806
2016/09/01,87.36,88.31,86.98,88.31,29793244
2016/09/02,88.48,88.87,88.04,88.2,17467358
2016/09/06,88.25,88.64,87.88,88.64,14472067
2016/09/07,88.31,88.41,87.71,87.95,17556418
2016/09/08,87.95,88.18,87.63,87.78,23465368
2016/09/09,87.1,87.17,86.24,86.24,21953688
2016/09/12,86.04,88.38,85.96,88.25,16105710
2016/09/13,87.55,87.91,87.01,87.05,19682126
2016/09/14,87.12,87.6,86.87,87.01,25397922
2016/09/15,86.75,88.27,86.75,88.06,13891454
2016/09/16,87.62,88.11,87.3,88.05,23518264
2016/09/19,87.92,88.95,87.25,88.37,19173560
2016/09/20,88.5,88.95,88.18,88.58,33986484
2016/09/21,88.54,88.79,86.44,87.8,55409812
2016/09/22,87.77,89.3,87.77,88.99,52692368
2016/09/23,88.63,88.94,87.49,87.76,48281376
2016/09/26,87.42,88.43,86.61,87.85,60276364
2016/09/27,88.06,88.81,87.66,88.36,65147992
2016/09/28,88.98,89.72,88.47,89.45,89800768
2016/09/29,89.16,89.27,87.54,88.23,74580288
2016/09/30,88.3,90.22,88.29,89.75,123721560
2016/10/03,89.35,89.45,88.41,88.66,26789542
2016/10/04,88.29,88.68,87.95,88.35,23311380
2016/10/05,88.48,89,88.2,88.85,64575056
2016/10/06,88.83,89.73,88.47,89.22,60962728
2016/10/07,89.01,90.05,88.3,90,20435918
2016/10/10,90.19,90.33,88.78,89.06,15488244
2016/10/11,88.83,89.12,88.2,88.54,11723000
2016/10/12,88.74,89.01,88.33,88.56,17093448
2016/10/13,88.05,88.56,87.6,88.24,11158075
2016/10/14,88.5,88.95,88.22,88.43,7368968
2016/10/17,88.43,88.65,87.7,87.83,7605826
2016/10/18,88.2,88.27,87.43,87.45,10748540
2016/10/19,86.65,86.81,85.44,85.54,12788655
2016/10/20,85.38,85.52,84.78,84.93,10172284
2016/10/21,84.41,84.86,84.24,84.33,13679797
2016/10/24,84.39,84.7,84.06,84.1,10570778
